Time	Time Code	Country Name	Country Code	Net migration	Life expectancy at birth, total (years)	GDP per capita (current US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2016	YR2016	Latvia	LVA	-10340	74.580487804878	14331.7515885049	68.021	100	79.84209778
2016	YR2016	Lebanon	LBN	-228173	79.505	8172.29947595953	88.266	99.7256240844727	76.11
2016	YR2016	Lesotho	LSO	-3861	52.264	986.265986678849	27.317	35.071590423584	32.45385695
2016	YR2016	Liberia	LBR	-26822	60.416	722.131226789418	50.254	17.7000007629395	15.7
2016	YR2016	Libya	LBY	-5081	71.756	7944.82707552717	79.54	71.8302230834961	..
2016	YR2016	Liechtenstein	LIE	175	82.2585365853659	165844.985381318	14.303	100	98.09390389
2016	YR2016	Lithuania	LTU	-17334	74.6707317073171	15008.3132445526	67.366	100	74.37664556
2016	YR2016	Luxembourg	LUX	12535	82.6853658536585	106899.293549552	90.46	100	98.13669867
2016	YR2016	Macao SAR, China	MAC	6962	84.231	71918.7310847175	100	100	81.64298546
2016	YR2016	Madagascar	MDG	485	64.997	464.616153538796	35.856	22.8999996185303	4.713662899
2016	YR2016	Malawi	MWI	-5498	62.209	312.142797057288	16.506	11	6.3
2016	YR2016	Malaysia	MYS	97737	75.289	9555.65120152294	74.84	99.9000015258789	78.78830993
2016	YR2016	Maldives	MDV	12191	79.872	9640.32400920804	38.954	100	59.09258997
2016	YR2016	Mali	MLI	-30294	58.731	750.051828087565	40.783	38.7898216247559	14
2016	YR2016	Malta	MLT	10239	82.4536585365854	25624.4636404081	94.48	100	78.0751488
2016	YR2016	Marshall Islands	MHL	-1901	..	4153.11717602268	76.228	93.3688278198242	29.78777936
2016	YR2016	Mauritania	MRT	-3009	64.768	1579.19855406867	51.962	41.3216171264648	24.1
2016	YR2016	Mauritius	MUS	-2558	74.3948780487805	9967.88173591323	40.91	99.4800109863281	52.19132594
2016	YR2016	Mexico	MEX	33094	74.412	8875.06225558599	79.577	99.5	59.540446
