Country Name,Net migration,"Life expectancy at birth, total (years)",GDP per capita (current US$),Urban population (% of total population),Access to electricity (% of population)
Burundi,-0.5210170183669616,-1.4609385446696002,-0.6658159670536555,-1.9797342914519207,-2.861195735862459
Cabo Verde,-0.03023092330442751,0.4479398040978882,-0.5440647982385696,0.2659548208602886,0.14434840400038407
Cambodia,-0.2080921819553074,-0.25666857964008744,-0.6195812498227057,-1.5428201222231501,-0.547519366959113
Cameroon,0.03633366069218327,-1.532446463280196,-0.6131309090867383,-0.1457148471250304,-0.9217122239461433
Canada,1.4314835672936357,1.2342715233908303,1.2063521725459465,0.9738294940977195,0.6230687384941355
Central African Republic,-0.2634044950505196,-2.397309200332988,-0.6600281836287938,-0.7697983490026179,-2.7003263703391647
Chad,0.07400016074347508,-2.5731420644879703,-0.6457958905342148,-1.5387484284742063,-2.8644459537828557
Chile,0.5506959424052668,1.0017430951945885,-0.0631583341277717,1.2362180112664984,0.6230687384941355
China,-0.7188353918732275,0.6364142467215292,-0.3164081859156553,-0.07898192957655155,0.6230687384941355
Colombia,0.3393321596581324,0.541027791003467,-0.4123403695388076,0.9227404525320247,0.5615715510642456
Comoros,-0.028995807208713063,-1.148857557019072,-0.6161923053249504,-1.2840746994613208,-0.2612216103296395
"Congo, Dem. Rep.",0.7618326817524536,-1.6814638579562042,-0.6562951768817347,-0.6545479859404084,-2.565492837529061
"Congo, Rep.",-0.09098773713038101,-1.1054420350054965,-0.5889160375966492,0.31811536078096875,-1.471361132707701
Costa Rica,-0.004992778966262374,0.9225736138757161,-0.1470750995062025,0.8210338286768282,0.6038508490946873
Cote d'Ivoire,-0.11532678960475401,-1.809922726031667,-0.5884431226970847,-0.37278677851349684,-0.7490884473297713
Croatia,-0.08545241903966073,0.7390729580996854,-0.11804304278377112,-0.09325428766495453,0.6230687384941355
Cuba,-0.08947108721873165,0.6906836492384987,-0.31812015948004163,0.7865315816463045,0.5828952092591253
Curacao,-0.02089943956658488,0.7004536989197513,0.16360736382823704,1.3155088895354046,0.6230687384941355
Cyprus,-0.0016870270630266377,1.1264988746277174,0.4232014447023405,0.35583210287644806,0.6230687384941355
Czechia,-0.025199641561590706,0.8673885611814174,0.14996448673731036,0.6425222027362913,0.6230687384941355
Denmark,0.07996232042609668,1.100661344453789,1.7558251227415609,1.2456471967903682,0.6230687384941355
Djibouti,-0.016467552399609495,-1.2824241335667201,-0.5633082238106966,0.8121618222975509,-0.9652726950537698
Dominican Republic,-0.16088531823822125,0.09614638307611771,-0.3566022089818653,0.8939385767500223,0.5807894404636937
Ecuador,0.09905212949368326,0.5783140628504205,-0.40608291098512733,0.21237990311102767,0.5731021087588827
"Egypt, Arab Rep.",-0.005074514590243477,-0.17749909832121505,-0.5283387940449682,-0.6791924481050684,0.6230687384941355
El Salvador,-0.23952407024404057,-0.026694005679939698,-0.5043679563280973,0.5109850646783071,0.46932562329855065
Equatorial Guinea,0.0538523294321331,-1.5010340561762554,-0.3190360091262251,0.5382868427633304,-0.6771999462896686
Estonia,-0.018551810811127632,0.6904874384862206,0.1375101158734789,0.4279225121998533,0.6230687384941355
Eswatini,-0.07058561721109782,-1.988820215269961,-0.527965885349344,-1.5052319599302688,-0.7825276804518291
Ethiopia,0.5020496235325134,-1.0013724748847195,-0.6451891129924685,-1.6592277035087437,-1.571614172274494
Faroe Islands,-0.0213989350464694,1.2588757288361165,1.8523878641523923,-0.7201236852655035,0.6230687384941355
Fiji,-0.07441810980221178,-0.6377036316651192,-0.4377057637597767,-0.14331469080986364,0.49091671794259306
Finland,0.05431095710002707,1.1741625151510842,1.2730282724616842,1.1441977325403687,0.6230687384941355
France,0.04304506359463166,1.3202305196300441,0.9726035743075723,0.9145542050999376,0.6230687384941355
French Polynesia,-0.03149782547613461,1.3093548379319548,0.15670186628631402,0.13523202155209244,0.6230687384941355
Gabon,0.009742337690330982,-0.8213257512401828,-0.3774661255705574,1.284949756451226,0.16967363871420058
"Gambia, The",-0.039625979194255444,-1.1774607244633106,-0.6480787653644025,0.05739838104596646,-1.0555213534606422
Georgia,-0.07192971413878707,0.17046354134641625,-0.49583079967597377,-0.031793142023002506,0.6230687384941355
Germany,1.9378947891405574,1.1181023002124642,1.1983656277832266,0.7991324023009305,0.6230687384941355
Ghana,0.008012266982730961,-1.0654742162106456,-0.5920239363061005,-0.16414461883077605,-0.17255176534632827
Greece,-0.14750338024531504,1.1688679392957748,0.12098479925446393,0.8489785057748426,0.6230687384941355
Greenland,-0.025535665793513018,-0.05221697575894148,1.4673866661561539,1.1892435233839465,0.6230687384941355
Grenada,-0.024700146081706186,0.32280094652934543,-0.2828058754930974,-0.964639609873129,0.30550730906753076
Guam,-0.032247068695961396,0.5928710319961477,0.8831757644584788,1.544595237831243,0.6230687384941355
Guatemala,-0.2021391040086837,0.015444589215589614,-0.4908857110300552,-0.3540141273341558,0.30849426923328305
Guinea,-0.0882995432750025,-1.7201547496330092,-0.6445280156117619,-0.9908698896031671,-1.932910551632462
Guinea-Bissau,-0.030158269416444308,-1.6038266891789865,-0.6479902274217754,-0.6877215750107506,-2.3376857342788755
Guyana,-0.052494799103280275,-0.4916231693606162,-0.41381251040240796,-1.3756663788454568,0.2068229660849441
Haiti,-0.1777818880623149,-1.1290651866893535,-0.6184926031569554,-0.22213410980257586,-1.6677036192717345
Honduras,-0.05419308373488765,0.04519699106606826,-0.5744415355435358,-0.11854164884260539,0.30020813793506324
"Hong Kong SAR, China",-0.02383738116190565,1.5313906625655194,1.2694635696333934,1.775310263626659,0.6230687384941355
Hungary,-0.02829651353687473,0.48898211034573574,-0.09346064689072353,0.5229001263857423,0.6230687384941355
Iceland,-0.005160791082223531,1.2732022282093174,2.0817217618203188,1.5067927758673645,0.6230687384941355
India,0.2854820060585821,-0.27033169980318333,-0.6003060632968401,-1.0885048197094196,0.2086463431034642
Indonesia,-0.19935555192532722,-0.31106567486886216,-0.518228672906927,-0.19671816882232676,0.5315916905197808
"Iran, Islamic Rep.",0.08404910162515185,0.42980743902162877,-0.43197359370333666,0.6558087823381081,0.621146832257503
Iraq,-0.36703618452256076,-0.41449677143061675,-0.48501644194792615,0.4935410714591474,0.6078597566566353
Ireland,0.062339211722171,1.2028155138974965,2.122124832773165,0.1782205355540992,0.6230687384941355
Israel,0.03638815110817068,1.299052216208787,1.000545364460359,1.4434029331864393,0.6230687384941355
Italy,0.20134880377403305,1.4058780702307176,0.7010885092356995,0.4832975471854892,0.6230687384941355
Jamaica,-0.07528087472201231,-0.027332469238964107,-0.45308938099241874,-0.14918650179518264,0.4976906016878215
Japan,0.689047108597281,1.5004952552215678,1.0755236521253597,1.4091578457611116,0.6230687384941355
Jordan,0.19953699744245193,0.38064574497684545,-0.4984457026766263,1.3683980483374745,0.6214861129282033
Kazakhstan,-0.057644143414089785,0.022467688364843592,-0.333295952830666,-0.056351884319263607,0.6230687384941355
Kenya,-0.15882376416669786,-1.2859995294972506,-0.6070787734828931,-1.3918245740386337,-1.1795693458224403
Kiribati,-0.027642628545025905,-0.753648613983728,-0.6095630461624864,-0.26267960755521624,0.3463162931110213
"Korea, Rep.",0.43967171983093467,1.282234151727209,0.6266948362742617,0.9850587968579645,0.6230687384941355
Kuwait,-0.43608008244659835,0.9534752501324365,0.5261806028757179,1.775310263626659,0.6230687384941355
Kyrgyz Republic,-0.13862598330736742,-0.16380794805065244,-0.6267204076710707,-0.9701256814506534,0.6119223274534508
Lao PDR,-0.07560781721793672,-0.6470251996268568,-0.5738403296848857,-1.0647604161629476,0.25983256515458014
Latvia,-0.07078995627105057,0.2996231621086057,-0.03885987292762855,0.4046924278637738,0.6230687384941355
Lebanon,-1.0599408550863667,0.9284474786187283,-0.31294022226422435,1.2723917957307995,0.6125228864971834
Lesotho,-0.041369672505852315,-2.550029683651331,-0.6327008979053271,-1.3398783337889508,-1.872505249749124
Liberia,-0.14563254262974756,-1.5090786970199477,-0.6444542399136177,-0.35680002305711755,-2.5401958273308485
Liechtenstein,-0.023042729262089365,1.2800540322573757,6.7031034199553705,-1.8976575174600534,0.6230687384941355
Lithuania,-0.10254878705570818,0.3111466507348871,-0.008754556472676759,0.37661917096316117,0.6230687384941355
Luxembourg,0.03308239920493494,1.334557019003245,4.0801662635430285,1.3664264913643014,0.6230687384941355
"Macao SAR, China",0.007776141846785552,1.531923234607433,2.523617952886472,1.775310263626659,0.6230687384941355
Madagascar,-0.02163506018241481,-0.9241183842429147,-0.6559130222771034,-0.9738973556602013,-2.3403298215628467
Malawi,-0.04880307342013377,-1.2801256647542365,-0.6626977086494283,-1.8032370824187562,-2.7977155746076265
Malaysia,0.41997343445148877,0.3900950056503882,-0.2513844998931448,0.6969543191695406,0.61922521926259
Maldives,0.03152034061329608,0.9753107038510299,-0.24761676986040784,-0.8411172795104338,0.6230687384941355
Mali,-0.16139843632210263,-1.724240916410757,-0.6432118423727881,-0.7627264598597155,-1.7295921377777266
Malta,0.022656566279345314,1.3049696833412041,0.4636378180340716,1.538723426845924,0.6230687384941355
Mauritania,-0.037500852970746755,-0.9533600152461761,-0.6063168685738467,-0.28359525544452757,-1.6322806059100028
Mauritius,-0.03545292150322023,0.2759221490151183,-0.2330412630583654,-0.7572832482163908,0.6030825557867859
Mexico,0.12643810439535183,0.278108497397724,-0.28166902076426165,0.8999818274721386,0.6038508490946873
"Micronesia, Fed. Sts.",-0.0299584712244905,-0.08160187175593359,-0.5420866962238375,-1.5452202785383171,-0.30085000320610455
Moldova,-0.25829601855170065,-0.2958702421641107,-0.5484615150436796,-0.6886644935631375,0.6230687384941355
Mongolia,0.010082902790252247,-0.30251026317795254,-0.5123577650728846,0.4165217697028104,0.23250009086344398
Montenegro,-0.03342315350768949,0.5372561843206456,-0.36360930805694575,0.32411575156888595,0.6230687384941355
Morocco,-0.28382931930979755,0.13407111848209574,-0.5371790222511744,0.11920240616151356,0.5385101424332515
Mozambique,0.3265723205810824,-1.6850392538867347,-0.6574091617437299,-1.0137570944656513,-2.211703666149039
Myanmar,-0.4231386086495903,-0.8362657985213257,-0.6248873204872935,-1.221370615727586,-1.0834798988252
Namibia,-0.06287068248088146,-1.3474197238752792,-0.4712364932962406,-0.45507785217636126,-1.3102509057661695
Nepal,-0.4689150989470071,-0.4415676263331998,-0.6374194817085959,-1.6988302827089972,0.2656158783677131
Netherlands,0.24647140907960105,1.1909805796326731,1.3720387906596923,1.3739269798491984,0.6230687384941355
New Zealand,0.20326050920159108,1.1975520826060402,1.1059031331148752,1.1924151585147031,0.6230687384941355
Nicaragua,-0.1286451554456749,0.13049572255156522,-0.584056996522295,-0.02094957867055214,0.03269955130956072
Niger,0.043517313866522474,-1.3541874376009255,-0.6544704135438979,-1.8124948282058286,-2.5566647955312214
Nigeria,-0.2704746265248851,-2.578249772960156,-0.5811498990832189,-0.4241329796843883,-0.9412674879451141
North Macedonia,-0.029122951512683667,0.4042688966607032,-0.4474433416450256,-0.043536763993640475,0.6230687384941355
Norway,0.09615505571035304,1.299052216208787,2.458732978202426,0.9817585819246101,0.6230687384941355
Oman,0.5141283324097209,0.7255437595611636,0.08352853872829105,1.0252614151370099,0.6230687384941355
Pakistan,-10.424291395505403,-0.8113657197194227,-0.6112283773735081,-0.957696300532825,-0.4704205470278773
Panama,0.02206625343948179,0.6919605763565457,-0.03661360276231695,0.3620896532695617,0.3603514283410692
Papua New Guinea,0.10545929424020198,-0.944166139996242,-0.572788034327925,-1.9513610150119123,-1.3217816100816686
Paraguay,-0.09982426625633807,0.16599429643325447,-0.42032418852065806,0.10488718813891128,0.5615715510642456
Peru,0.3427241880533482,0.45394136155270565,-0.40231386905462524,0.8126332815737441,0.4001411041638498
Philippines,0.3351227750231056,-0.10816195581129745,-0.5413971579027116,-0.5187677143966822,0.3181386961811975
Poland,-0.032769268515840666,0.7172717634013294,-0.12576318205974193,0.06854196393781259,0.6230687384941355
Portugal,-0.06074555625737276,1.1352318103326078,0.21300592504869068,0.23603858678910114,0.6230687384941355
Puerto Rico,-0.3227354763248027,1.026132403149274,0.6862455554022368,1.5010924046188434,0.6230687384941355
Qatar,0.6048684976327424,1.046946315173431,1.9250597496397228,1.7330932284402416,0.6230687384941355
Romania,-0.3144620148307155,0.3799761368539699,-0.2581173898810509,-0.20053270296607406,0.5884764789267848
Russian Federation,1.6713412967341823,-0.07442304978740763,-0.289240888822212,0.6679810036507404,0.6230687384941355
Rwanda,-0.035666342299170886,-0.8296257775074856,-0.6441737603282466,-1.7796641186090818,-2.091650285815314
Samoa,-0.03642466725499557,0.03906774089944737,-0.4938878340762131,-1.710016725535043,0.6085896352991411
Sao Tome and Principe,-0.03194737140803068,-0.60552506829035,-0.6014587739075871,0.5363152857901573,-0.5561210263486716
Saudi Arabia,0.7545990790301259,0.6167495691036141,0.1822170899212793,1.0638782158506768,0.61922521926259
Senegal,-0.13608763809595426,-0.6048866047313274,-0.6191521139723177,-0.5264396426183764,-0.7414014088666798
Serbia,0.0029582808998994035,0.4410194820093553,-0.4200501476841386,-0.11867022864520363,0.6230687384941355
Seychelles,-0.02269762329416915,0.26505269622979954,0.023809489362970084,-0.11777017002701601,0.6230687384941355
Sierra Leone,-0.002690558890794629,-1.7659964331708724,-0.6547670137550713,-0.7436537891409788,-2.440262861102066
Singapore,0.14189521906377828,1.355112431147407,1.8535601392093317,1.775310263626659,0.6230687384941355
Slovak Republic,-0.007117905189771062,0.6297555389693774,0.060444751007804755,-0.2045615367808185,0.6230687384941355
Slovenia,0.011054648542027586,1.1417721687421112,0.2880459649622397,-0.19538951086214484,0.6230687384941355
Solomon Islands,-0.0311163925642228,-0.3106825967334483,-0.5788586787947038,-1.5324908780810926,-0.9786580066310266
Somalia,0.5393074454638996,-2.1950439448344468,-0.6593584418275191,-0.6327322794329094,-1.25593212903504
