Country Name,International migrant stock (% of population),"Life expectancy at birth, total (years)",GDP (constant 2015 US$),Urban population (% of total population),Access to electricity (% of population),Individuals using the Internet (% of population)
Burkina Faso,-0.4021825986806617,-1.6208622152375425,-0.2321945031777931,-1.3073005176577213,-2.413152591926454,-1.3759635655632751
Burundi,-0.49152089886446654,-1.4502051899946835,-0.2376050011631171,-1.9683008465796423,-2.6913115982071885,-1.584709963643734
Cabo Verde,-0.4712070737277449,0.3413204182946011,-0.2385393017030221,0.26563386588221083,0.14253204490560406,-0.1693045188176834
Cambodia,-0.6323463054994901,-0.24913796277526148,-0.22834015310776423,-1.5358187520028483,-0.6373791864183035,-1.0280529020958438
Cameroon,-0.5541138271904636,-1.5197367330783262,-0.2195623354444367,-0.15025049845761,-0.8670109024770069,-1.0176155821918207
Central African Republic,-0.5521701047044109,-2.37364378722718,-0.23847791681679747,-0.7620137461868614,-2.5349695750802272,-1.5533980039316653
Chad,-0.41627757984210245,-2.5234040338688724,-0.23274110191662323,-1.521830458736121,-2.717771864445922,-1.5325233641236193
Chile,-0.48816123582259924,0.9789209368039986,-0.08920785059179456,1.2520865959456007,0.6282444031327803,1.0117331213190839
Colombia,-0.6457326422609645,0.5449396240690618,-0.05760268579134304,0.9271475266671309,0.5726823488716601,0.29070151137104105
Comoros,-0.5570772099798048,-1.1169762026582262,-0.23893031029372697,-1.2670895217227869,-0.2860474257834117,-1.3947799176658298
"Congo, Dem. Rep.",-0.6167571964866827,-1.6650190985911972,-0.2160243296064592,-0.6566523813062833,-2.4105610083253977,-1.5220860613715919
"Congo, Rep.",-0.09142938441266409,-1.0750582598689822,-0.23215848764480831,0.3188064913578744,-1.383157669936759,-1.3893242165764637
Costa Rica,-0.0735665053534637,0.8968264494422739,-0.20454135202957163,0.8030067711318335,0.6171520230404666,0.42492466706062193
Cote d'Ivoire,-0.01890309905440846,-1.7555718058629186,-0.21112909834375376,-0.3698709805107515,-0.7213951848204844,-1.0732812883466099
Croatia,0.2520007621213693,0.671639996415249,-0.20838413468417677,-0.08279013612847021,0.6386137893148215,0.7756911823461575
Cuba,-0.6564390029017125,0.7333837882402947,-0.18551625147051984,0.8044612114103313,0.5907391633959039,-0.35640797692628384
Cyprus,0.4695070318493534,1.1306713528362782,-0.22718763111210716,0.3788235416735261,0.6386137893148215,0.8407750041163417
Czechia,-0.40553776148148374,0.8336446388807335,-0.12296930103365777,0.6582044081108203,0.6386137893148215,0.9783074912554844
Denmark,0.015877797117905008,1.0978881661980329,-0.05190507816613734,1.2591876867170888,0.6386137893148215,1.6971487767392475
Djibouti,0.18797488279363528,-1.233774268768317,-0.23802628586022873,0.826748369795545,-0.9039940107713909,-0.8575766769968024
Dominican Republic,-0.3984754577131548,0.133969644912789,-0.19541476618567746,0.8758998956777149,0.5862630376290772,0.23193222743724326
Ecuador,-0.5026566766591172,0.6111127563060884,-0.1779800103746703,0.2270484208467741,0.5959183077999703,0.048397782689059525
"Egypt, Arab Rep.",-0.6281385364357186,-0.17326275475912165,-0.03535803594523165,-0.6547273868200367,0.6131591879074396,-0.3385154182311721
El Salvador,-0.6181025618034052,-0.007705538579643973,-0.22500000770899536,0.496633204231834,0.4713400205828994,-0.7218008889083135
Equatorial Guinea,-0.578047218966714,-1.4643851469026175,-0.23135558251368557,0.5358175364407699,-0.596267855029189,-0.9125465653037632
Estonia,0.37401818418630833,0.7107759493703878,-0.2253393838890522,0.4417066948909234,0.6386137893148215,1.421575763827169
Eswatini,-0.4990567053855556,-2.096761470761725,-0.23701037643000977,-1.4882499993649256,-0.670034318887563,-0.7621433099976689
Ethiopia,-0.5916154707382072,-1.0233138557137125,-0.19949084803731526,-1.6538850804926553,-1.9432213236273976,-1.1722557641834863
Faroe Islands,0.10662355733973222,1.2334987938798274,-0.23793360182473364,-0.7037933573917066,0.6386137893148215,1.6230263535259835
Fiji,-0.5605105534746017,-0.6259019055308166,-0.23662647769158104,-0.1439194054806205,0.46291239740086,-0.17567177660063685
Finland,-0.27773720340566926,1.1946662204049556,-0.09414358201867759,1.1607563019869995,0.6386137893148215,1.352426078173891
French Polynesia,0.05164757926990177,1.303318547469725,-0.2362277016170951,0.1536847420931437,0.6386137893148215,0.591826444434683
Gabon,0.3834173968072051,-0.7980515578166161,-0.23061319529123983,1.2845120586250474,0.17958756356475222,-0.06139924826710547
"Gambia, The",-0.012956597924217408,-1.1669792085967317,-0.238674824213474,0.048665598454565216,-1.0136883613824237,-1.0210946888264951
Georgia,-0.38007658176052156,0.17675828681041472,-0.2302593354183185,-0.02747862789031053,0.6386137893148215,0.0007105673966437935
Ghana,-0.5661644972090102,-1.082272623909861,-0.20890249592378324,-0.17129710484057584,-0.3039799497198576,-0.8540975703621281
Greece,0.09962429519585532,1.1394511549953685,-0.1182268457523836,0.8536555149477513,0.6386137893148215,0.6709674135612599
Greenland,0.056009999843398946,0.012608751419395697,-0.23797996528711454,1.1969461983284406,0.6386137893148215,0.6975994178447192
