Time	Time Code	Country Name	Country Code	International migrant stock (% of population)	Life expectancy at birth, total (years)	GDP (constant 2015 US$)	Urban population (% of total population)	Access to electricity (% of population)	Individuals using the Internet (% of population)
2015	YR2015	Kenya	KEN	2.35472288542212	61.892	70120413328.7838	25.658	41.5999984741211	16.58785485
2015	YR2015	Kiribati	KIR	2.80458625014454	66.059	170291037.487792	51.619	90.5581817626953	14.9
2015	YR2015	Korea, Dem. People's Rep.	PRK	0.192635219027453	72.784	..	61.277	40.6374969482422	..
2015	YR2015	Korea, Rep.	KOR	2.63915935436429	82.0243902439024	1465773245547.15	81.634	100	89.8962558
2015	YR2015	Kosovo	XKX	..	78.922	6295820481.52668	..	99.8600006103516	..
2015	YR2015	Kuwait	KWT	73.6395507326993	79.562	114567298105.683	100	100	82
2015	YR2015	Kyrgyz Republic	KGZ	3.44079642260338	70.6512195121951	6678178340.45121	35.777	98.6900024414063	30.24704278
2015	YR2015	Lao PDR	LAO	0.327020358502169	66.67	14426381187.0894	33.108	89.6999969482422	18.2
2015	YR2015	Latvia	LVA	13.3532402640341	74.4804878048781	27263090547.0617	67.98	100	79.20058292
2015	YR2015	Lebanon	LBN	34.1456803007755	79.229	49929337837.0813	88.106	99.5831756591797	74
2015	YR2015	Lesotho	LSO	0.307818842147762	51.101	2359759799.04224	26.908	31.6773338317871	25
2015	YR2015	Liberia	LBR	2.52649198234771	59.148	3227075700	49.82	15.161735534668	10
2015	YR2015	Libya	LBY	12.2824498704933	71.698	48717854039.9653	79.27	73.4285736083984	..
2015	YR2015	Liechtenstein	LIE	62.5962537635555	82.6560975609756	6268391521.19701	14.303	100	96.6411951
2015	YR2015	Lithuania	LTU	4.72608962255138	74.3219512195122	41435533340.3883	67.23	100	71.37805901
2015	YR2015	Luxembourg	LUX	43.9641339422687	82.2926829268293	60071584216.1375	90.179	100	96.37671417
2015	YR2015	Macao SAR, China	MAC	58.321902771585	83.984	45047964934.2517	100	100	77.60013186
2015	YR2015	Madagascar	MDG	0.132347777361949	64.339	11323020828.5758	35.193	23.0059337615967	4.17397219
2015	YR2015	Malawi	MWI	1.2498117945782	61.378	6373212640.84604	16.313	10.8000001907349	6
2015	YR2015	Malaysia	MYS	8.28934891611083	75.094	301354756113.174	74.213	99.7788162231445	71.06406781
2015	YR2015	Maldives	MDV	25.8721817536855	79.695	4109424799.72407	38.529	99.7064743041992	54.46195515
2015	YR2015	Mali	MLI	2.06335973795908	58.363	13104764333.9941	39.991	37.5999984741211	10.33
2015	YR2015	Malta	MLT	9.8984880693625	81.8975609756097	11091423499.3898	94.414	100	75.96001898
2015	YR2015	Marshall Islands	MHL	6.19704489272168	..	182997300	75.811	92.5262756347656	19.2824418
2015	YR2015	Mauritania	MRT	3.39667673329787	64.485	6166857628.62212	51.089	39.5	17.6
2015	YR2015	Mauritius	MUS	2.24510921983142	74.3531707317073	12007291045.6489	41	99.3616104125977	50.13931848
2015	YR2015	Mexico	MEX	0.939364727416811	74.682	1171867608197.72	79.285	99	57.43104299
2015	YR2015	Micronesia, Fed. Sts.	FSM	2.63833046142064	71.408	316489900	22.456	73.9390563964844	31.50108128
2015	YR2015	Moldova	MDA	3.51210659793059	69.24	7745241912.94722	42.49	100	69.00000447
2015	YR2015	Monaco	MCO	55.7684662479129	..	6261622101.40908	100	100	93.36330202
2015	YR2015	Mongolia	MNG	0.595444478012824	69.498	11619892396.0767	68.23	88.4001770019531	22.50000413
2015	YR2015	Montenegro	MNE	13.1900776789324	76.4487804878049	4054712082.54743	65.806	100	68.11978601
2015	YR2015	Morocco	MAR	0.257467738138459	72.92	110414366621.263	60.809	97.3000030517578	57.07999935
2015	YR2015	Mozambique	MOZ	0.796801385438194	58.151	15950969018.9458	34.4	24	6.5
2015	YR2015	Myanmar	MMR	0.13601460292319	65.561	63045305229.1046	29.858	60.5	10.9
2015	YR2015	Namibia	NAM	3.81840143482876	60.7	11335179560.987	46.9	51.5999984741211	25.68785182
2015	YR2015	Nauru	NRU	31.089806300137	..	86529661.3694983	100	99	..
2015	YR2015	Nepal	NPL	1.81764555283951	67.456	24360795410.6422	18.557	82.5239562988281	17.58161801
2015	YR2015	Netherlands	NLD	11.6956827411211	81.509756097561	765572770634.375	90.173	100	91.72413793
2015	YR2015	New Caledonia	NCL	24.4339041798737	77.2804878048781	8738205836.7394	69.379	100	74.00175279
2015	YR2015	New Zealand	NZL	22.95970035283	81.4568292682927	178064471137.921	86.341	100	85.2
2015	YR2015	Nicaragua	NIC	0.66198270577991	72.983	12756706583.3113	57.895	83.2493286132813	19.7042915
2015	YR2015	Niger	NER	0.951072208218253	61.083	9683867893.68343	16.247	16.6000003814697	2.476219975
2015	YR2015	Nigeria	NGA	0.658124087599013	51.841	493026782401.561	47.838	52.5	24.5
2015	YR2015	North Macedonia	MKD	6.28977417338761	75.4024390243902	10064515432.0265	57.408	100	70.38020308
2015	YR2015	Northern Mariana Islands	MNP	39.3099691301979	..	910000000	91.357	100	..
2015	YR2015	Norway	NOR	14.2356111639164	82.3048780487805	385801550067.169	81.091	100	96.81032569
2015	YR2015	Oman	OMN	41.085873617455	77.687	78710793237.9714	81.35	100	73.53
2015	YR2015	Pakistan	PAK	1.92084606074688	65.697	270556131701.171	36.026	71.3815460205078	11
